言語,文章名,モデル名,文字数,トークン数,文字数目安(有効桁4),トークン消費[%],画像パス
日本語,文章1,DeepSeek-V3-Base,355,216,1.644,60.85%,./日本語/DeepSeek-V3-Base/文章1.png
日本語,文章1,DeepSeek-V4-Pro,355,216,1.644,60.85%,./日本語/DeepSeek-V4-Pro/文章1.png
日本語,文章1,LFM2.5-8B-A1B,355,190,1.868,53.52%,./日本語/LFM2.5-8B-A1B/文章1.png
日本語,文章1,Llama-3-ELYZA-JP-8B,355,236,1.504,66.48%,./日本語/Llama-3-ELYZA-JP-8B/文章1.png
日本語,文章1,Mistral-Medium-3.5-128B,355,248,1.431,69.86%,./日本語/Mistral-Medium-3.5-128B/文章1.png
日本語,文章1,Qwen2.5-72B-Instruct,355,213,1.667,60.00%,./日本語/Qwen2.5-72B-Instruct/文章1.png
日本語,文章1,Qwen3.6-27B,355,169,2.101,47.61%,./日本語/Qwen3.6-27B/文章1.png
日本語,文章1,RakutenAI-3.0,355,216,1.644,60.85%,./日本語/RakutenAI-3.0/文章1.png
日本語,文章1,diffusiongemma-26B-A4B-it,355,166,2.139,46.76%,./日本語/diffusiongemma-26B-A4B-it/文章1.png
日本語,文章1,gemma-4-31B-it,355,166,2.139,46.76%,./日本語/gemma-4-31B-it/文章1.png
日本語,文章2,DeepSeek-V3-Base,107,83,1.289,77.57%,./日本語/DeepSeek-V3-Base/文章2.png
日本語,文章2,DeepSeek-V4-Pro,107,83,1.289,77.57%,./日本語/DeepSeek-V4-Pro/文章2.png
日本語,文章2,LFM2.5-8B-A1B,107,71,1.507,66.36%,./日本語/LFM2.5-8B-A1B/文章2.png
日本語,文章2,Llama-3-ELYZA-JP-8B,107,84,1.274,78.50%,./日本語/Llama-3-ELYZA-JP-8B/文章2.png
日本語,文章2,Mistral-Medium-3.5-128B,107,89,1.202,83.18%,./日本語/Mistral-Medium-3.5-128B/文章2.png
日本語,文章2,Qwen2.5-72B-Instruct,107,80,1.338,74.77%,./日本語/Qwen2.5-72B-Instruct/文章2.png
日本語,文章2,Qwen3.6-27B,107,70,1.529,65.42%,./日本語/Qwen3.6-27B/文章2.png
日本語,文章2,RakutenAI-3.0,107,83,1.289,77.57%,./日本語/RakutenAI-3.0/文章2.png
日本語,文章2,diffusiongemma-26B-A4B-it,107,70,1.529,65.42%,./日本語/diffusiongemma-26B-A4B-it/文章2.png
日本語,文章2,gemma-4-31B-it,107,70,1.529,65.42%,./日本語/gemma-4-31B-it/文章2.png
日本語,文章3,DeepSeek-V3-Base,159,110,1.445,69.18%,./日本語/DeepSeek-V3-Base/文章3.png
日本語,文章3,DeepSeek-V4-Pro,159,110,1.445,69.18%,./日本語/DeepSeek-V4-Pro/文章3.png
日本語,文章3,LFM2.5-8B-A1B,159,95,1.674,59.75%,./日本語/LFM2.5-8B-A1B/文章3.png
日本語,文章3,Llama-3-ELYZA-JP-8B,159,118,1.347,74.21%,./日本語/Llama-3-ELYZA-JP-8B/文章3.png
日本語,文章3,Mistral-Medium-3.5-128B,159,123,1.293,77.36%,./日本語/Mistral-Medium-3.5-128B/文章3.png
日本語,文章3,Qwen2.5-72B-Instruct,159,110,1.445,69.18%,./日本語/Qwen2.5-72B-Instruct/文章3.png
日本語,文章3,Qwen3.6-27B,159,86,1.849,54.09%,./日本語/Qwen3.6-27B/文章3.png
日本語,文章3,RakutenAI-3.0,159,110,1.445,69.18%,./日本語/RakutenAI-3.0/文章3.png
日本語,文章3,diffusiongemma-26B-A4B-it,159,93,1.710,58.49%,./日本語/diffusiongemma-26B-A4B-it/文章3.png
日本語,文章3,gemma-4-31B-it,159,93,1.710,58.49%,./日本語/gemma-4-31B-it/文章3.png
日本語,文章1(漢字なしバージョン),DeepSeek-V3-Base,423,289,1.464,68.32%,./日本語/DeepSeek-V3-Base/文章1_漢字なしバージョン.png
日本語,文章1(漢字なしバージョン),DeepSeek-V4-Pro,423,289,1.464,68.32%,./日本語/DeepSeek-V4-Pro/文章1_漢字なしバージョン.png
日本語,文章1(漢字なしバージョン),LFM2.5-8B-A1B,423,264,1.602,62.41%,./日本語/LFM2.5-8B-A1B/文章1_漢字なしバージョン.png
日本語,文章1(漢字なしバージョン),Llama-3-ELYZA-JP-8B,423,299,1.415,70.69%,./日本語/Llama-3-ELYZA-JP-8B/文章1_漢字なしバージョン.png
日本語,文章1(漢字なしバージョン),Mistral-Medium-3.5-128B,423,288,1.469,68.09%,./日本語/Mistral-Medium-3.5-128B/文章1_漢字なしバージョン.png
日本語,文章1(漢字なしバージョン),Qwen2.5-72B-Instruct,423,281,1.505,66.43%,./日本語/Qwen2.5-72B-Instruct/文章1_漢字なしバージョン.png
日本語,文章1(漢字なしバージョン),Qwen3.6-27B,423,239,1.770,56.50%,./日本語/Qwen3.6-27B/文章1_漢字なしバージョン.png
日本語,文章1(漢字なしバージョン),RakutenAI-3.0,423,289,1.464,68.32%,./日本語/RakutenAI-3.0/文章1_漢字なしバージョン.png
日本語,文章1(漢字なしバージョン),diffusiongemma-26B-A4B-it,423,243,1.741,57.45%,./日本語/diffusiongemma-26B-A4B-it/文章1_漢字なしバージョン.png
日本語,文章1(漢字なしバージョン),gemma-4-31B-it,423,243,1.741,57.45%,./日本語/gemma-4-31B-it/文章1_漢字なしバージョン.png
日本語,文章1(ローマ字入力),DeepSeek-V3-Base,713,295,2.417,41.37%,./日本語/DeepSeek-V3-Base/文章1_ローマ字入力.png
日本語,文章1(ローマ字入力),DeepSeek-V4-Pro,713,295,2.417,41.37%,./日本語/DeepSeek-V4-Pro/文章1_ローマ字入力.png
日本語,文章1(ローマ字入力),LFM2.5-8B-A1B,713,307,2.322,43.06%,./日本語/LFM2.5-8B-A1B/文章1_ローマ字入力.png
日本語,文章1(ローマ字入力),Llama-3-ELYZA-JP-8B,713,306,2.330,42.92%,./日本語/Llama-3-ELYZA-JP-8B/文章1_ローマ字入力.png
日本語,文章1(ローマ字入力),Mistral-Medium-3.5-128B,713,290,2.459,40.67%,./日本語/Mistral-Medium-3.5-128B/文章1_ローマ字入力.png
日本語,文章1(ローマ字入力),Qwen2.5-72B-Instruct,713,306,2.330,42.92%,./日本語/Qwen2.5-72B-Instruct/文章1_ローマ字入力.png
日本語,文章1(ローマ字入力),Qwen3.6-27B,713,290,2.459,40.67%,./日本語/Qwen3.6-27B/文章1_ローマ字入力.png
日本語,文章1(ローマ字入力),RakutenAI-3.0,713,295,2.417,41.37%,./日本語/RakutenAI-3.0/文章1_ローマ字入力.png
日本語,文章1(ローマ字入力),diffusiongemma-26B-A4B-it,713,298,2.393,41.80%,./日本語/diffusiongemma-26B-A4B-it/文章1_ローマ字入力.png
日本語,文章1(ローマ字入力),gemma-4-31B-it,713,298,2.393,41.80%,./日本語/gemma-4-31B-it/文章1_ローマ字入力.png
日本語,文章1(漢字増やしバージョン),DeepSeek-V3-Base,347,223,1.556,64.27%,./日本語/DeepSeek-V3-Base/文章1_漢字増やしバージョン.png
日本語,文章1(漢字増やしバージョン),DeepSeek-V4-Pro,347,223,1.556,64.27%,./日本語/DeepSeek-V4-Pro/文章1_漢字増やしバージョン.png
日本語,文章1(漢字増やしバージョン),LFM2.5-8B-A1B,347,203,1.709,58.50%,./日本語/LFM2.5-8B-A1B/文章1_漢字増やしバージョン.png
日本語,文章1(漢字増やしバージョン),Llama-3-ELYZA-JP-8B,347,244,1.422,70.32%,./日本語/Llama-3-ELYZA-JP-8B/文章1_漢字増やしバージョン.png
日本語,文章1(漢字増やしバージョン),Mistral-Medium-3.5-128B,347,256,1.355,73.78%,./日本語/Mistral-Medium-3.5-128B/文章1_漢字増やしバージョン.png
日本語,文章1(漢字増やしバージョン),Qwen2.5-72B-Instruct,347,218,1.592,62.82%,./日本語/Qwen2.5-72B-Instruct/文章1_漢字増やしバージョン.png
日本語,文章1(漢字増やしバージョン),Qwen3.6-27B,347,178,1.949,51.30%,./日本語/Qwen3.6-27B/文章1_漢字増やしバージョン.png
日本語,文章1(漢字増やしバージョン),RakutenAI-3.0,347,223,1.556,64.27%,./日本語/RakutenAI-3.0/文章1_漢字増やしバージョン.png
日本語,文章1(漢字増やしバージョン),diffusiongemma-26B-A4B-it,347,178,1.949,51.30%,./日本語/diffusiongemma-26B-A4B-it/文章1_漢字増やしバージョン.png
日本語,文章1(漢字増やしバージョン),gemma-4-31B-it,347,178,1.949,51.30%,./日本語/gemma-4-31B-it/文章1_漢字増やしバージョン.png
日本語,文章1(エセ中国語風味),DeepSeek-V3-Base,215,149,1.443,69.30%,./日本語/DeepSeek-V3-Base/文章1_エセ中国語風味.png
日本語,文章1(エセ中国語風味),DeepSeek-V4-Pro,215,149,1.443,69.30%,./日本語/DeepSeek-V4-Pro/文章1_エセ中国語風味.png
日本語,文章1(エセ中国語風味),LFM2.5-8B-A1B,215,160,1.344,74.42%,./日本語/LFM2.5-8B-A1B/文章1_エセ中国語風味.png
日本語,文章1(エセ中国語風味),Llama-3-ELYZA-JP-8B,215,176,1.222,81.86%,./日本語/Llama-3-ELYZA-JP-8B/文章1_エセ中国語風味.png
日本語,文章1(エセ中国語風味),Mistral-Medium-3.5-128B,215,189,1.138,87.91%,./日本語/Mistral-Medium-3.5-128B/文章1_エセ中国語風味.png
日本語,文章1(エセ中国語風味),Qwen2.5-72B-Instruct,215,173,1.243,80.47%,./日本語/Qwen2.5-72B-Instruct/文章1_エセ中国語風味.png
日本語,文章1(エセ中国語風味),Qwen3.6-27B,215,150,1.433,69.77%,./日本語/Qwen3.6-27B/文章1_エセ中国語風味.png
日本語,文章1(エセ中国語風味),RakutenAI-3.0,215,149,1.443,69.30%,./日本語/RakutenAI-3.0/文章1_エセ中国語風味.png
日本語,文章1(エセ中国語風味),diffusiongemma-26B-A4B-it,215,149,1.443,69.30%,./日本語/diffusiongemma-26B-A4B-it/文章1_エセ中国語風味.png
日本語,文章1(エセ中国語風味),gemma-4-31B-it,215,149,1.443,69.30%,./日本語/gemma-4-31B-it/文章1_エセ中国語風味.png
中国語,文章1,DeepSeek-V3-Base,267,137,1.949,51.31%,./中国語/DeepSeek-V3-Base/文章1.png
中国語,文章1,DeepSeek-V4-Pro,267,137,1.949,51.31%,./中国語/DeepSeek-V4-Pro/文章1.png
中国語,文章1,LFM2.5-8B-A1B,267,164,1.628,61.42%,./中国語/LFM2.5-8B-A1B/文章1.png
中国語,文章1,Llama-3-ELYZA-JP-8B,267,173,1.543,64.79%,./中国語/Llama-3-ELYZA-JP-8B/文章1.png
中国語,文章1,Mistral-Medium-3.5-128B,267,199,1.342,74.53%,./中国語/Mistral-Medium-3.5-128B/文章1.png
中国語,文章1,Qwen2.5-72B-Instruct,267,150,1.78,56.18%,./中国語/Qwen2.5-72B-Instruct/文章1.png
中国語,文章1,Qwen3.6-27B,267,143,1.867,53.56%,./中国語/Qwen3.6-27B/文章1.png
中国語,文章1,RakutenAI-3.0,267,137,1.949,51.31%,./中国語/RakutenAI-3.0/文章1.png
中国語,文章1,diffusiongemma-26B-A4B-it,267,145,1.841,54.31%,./中国語/diffusiongemma-26B-A4B-it/文章1.png
中国語,文章1,gemma-4-31B-it,267,145,1.841,54.31%,./中国語/gemma-4-31B-it/文章1.png
中国語,文章2,DeepSeek-V3-Base,88,58,1.517,65.91%,./中国語/DeepSeek-V3-Base/文章2.png
中国語,文章2,DeepSeek-V4-Pro,88,58,1.517,65.91%,./中国語/DeepSeek-V4-Pro/文章2.png
中国語,文章2,LFM2.5-8B-A1B,88,80,1.1,90.91%,./中国語/LFM2.5-8B-A1B/文章2.png
中国語,文章2,Llama-3-ELYZA-JP-8B,88,81,1.086,92.05%,./中国語/Llama-3-ELYZA-JP-8B/文章2.png
中国語,文章2,Mistral-Medium-3.5-128B,88,84,1.048,95.45%,./中国語/Mistral-Medium-3.5-128B/文章2.png
中国語,文章2,Qwen2.5-72B-Instruct,88,62,1.419,70.45%,./中国語/Qwen2.5-72B-Instruct/文章2.png
中国語,文章2,Qwen3.6-27B,88,57,1.544,64.77%,./中国語/Qwen3.6-27B/文章2.png
中国語,文章2,RakutenAI-3.0,88,58,1.517,65.91%,./中国語/RakutenAI-3.0/文章2.png
中国語,文章2,diffusiongemma-26B-A4B-it,88,66,1.333,75.00%,./中国語/diffusiongemma-26B-A4B-it/文章2.png
中国語,文章2,gemma-4-31B-it,88,66,1.333,75.00%,./中国語/gemma-4-31B-it/文章2.png
中国語,文章3,DeepSeek-V3-Base,118,71,1.662,60.17%,./中国語/DeepSeek-V3-Base/文章3.png
中国語,文章3,DeepSeek-V4-Pro,118,71,1.662,60.17%,./中国語/DeepSeek-V4-Pro/文章3.png
中国語,文章3,LFM2.5-8B-A1B,118,91,1.297,77.12%,./中国語/LFM2.5-8B-A1B/文章3.png
中国語,文章3,Llama-3-ELYZA-JP-8B,118,101,1.168,85.59%,./中国語/Llama-3-ELYZA-JP-8B/文章3.png
中国語,文章3,Mistral-Medium-3.5-128B,118,108,1.093,91.53%,./中国語/Mistral-Medium-3.5-128B/文章3.png
中国語,文章3,Qwen2.5-72B-Instruct,118,73,1.616,61.86%,./中国語/Qwen2.5-72B-Instruct/文章3.png
中国語,文章3,Qwen3.6-27B,118,73,1.616,61.86%,./中国語/Qwen3.6-27B/文章3.png
中国語,文章3,RakutenAI-3.0,118,71,1.662,60.17%,./中国語/RakutenAI-3.0/文章3.png
中国語,文章3,diffusiongemma-26B-A4B-it,118,81,1.457,68.64%,./中国語/diffusiongemma-26B-A4B-it/文章3.png
中国語,文章3,gemma-4-31B-it,118,81,1.457,68.64%,./中国語/gemma-4-31B-it/文章3.png
英語,文章1,DeepSeek-V3-Base,789,151,5.225,19.14%,./英語/DeepSeek-V3-Base/文章1.png
英語,文章1,DeepSeek-V4-Pro,789,151,5.225,19.14%,./英語/DeepSeek-V4-Pro/文章1.png
英語,文章1,LFM2.5-8B-A1B,789,153,5.157,19.39%,./英語/LFM2.5-8B-A1B/文章1.png
英語,文章1,Llama-3-ELYZA-JP-8B,789,154,5.123,19.52%,./英語/Llama-3-ELYZA-JP-8B/文章1.png
英語,文章1,Mistral-Medium-3.5-128B,789,153,5.157,19.39%,./英語/Mistral-Medium-3.5-128B/文章1.png
英語,文章1,Qwen2.5-72B-Instruct,789,153,5.157,19.39%,./英語/Qwen2.5-72B-Instruct/文章1.png
英語,文章1,Qwen3.6-27B,789,158,4.994,20.03%,./英語/Qwen3.6-27B/文章1.png
英語,文章1,RakutenAI-3.0,789,151,5.225,19.14%,./英語/RakutenAI-3.0/文章1.png
英語,文章1,diffusiongemma-26B-A4B-it,789,157,5.025,19.90%,./英語/diffusiongemma-26B-A4B-it/文章1.png
英語,文章1,gemma-4-31B-it,789,157,5.025,19.90%,./英語/gemma-4-31B-it/文章1.png
英語,文章2,DeepSeek-V3-Base,306,67,4.567,21.90%,./英語/DeepSeek-V3-Base/文章2.png
英語,文章2,DeepSeek-V4-Pro,306,67,4.567,21.90%,./英語/DeepSeek-V4-Pro/文章2.png
英語,文章2,LFM2.5-8B-A1B,306,72,4.25,23.53%,./英語/LFM2.5-8B-A1B/文章2.png
